Product,Quantity,Region,Production Method,Water Footprint (L),Category,Water Scarcity Index,Scarcity Level,Alternative Method,Potential Water Savings (%)
Wood,1,North America,Handmade,318.93,Raw Material,0.3,Low,Recycled Wood,30
Bed,20,Asia,Industrial,145392.13,Furniture,0.7,High,Organic,25
Steel,200,Australia,Industrial,9373.01,Raw Material,0.5,Medium,Recycled Steel,40
Table,20,Europe,Handmade,97498.82,Furniture,0.4,Medium,Engineered Wood,20
Bed,100,Australia,Organic,863264.02,Furniture,0.5,Medium,Efficient Method,20
Wood,5,North America,Industrial,1479.38,Raw Material,0.3,Low,Efficient Method,20
Plastic,200,Australia,Conventional,33231.93,Other,0.5,Medium,Efficient Method,20
Sofa,20,North America,Organic,171804.47,Other,0.3,Low,Efficient Method,20
Corn,200,Africa,Industrial,246024.22,Other,0.8,Very High,Efficient Method,20
Corn,10,South America,Organic,11396.67,Other,0.6,Medium-High,Efficient Method,20
Chair,50,Africa,Handmade,116717.27,Other,0.8,Very High,Efficient Method,20
Wood,100,Europe,Organic,29597.7,Raw Material,0.4,Medium,Efficient Method,20
Car,20,North America,Conventional,3120539.08,Vehicle,0.3,Low,Efficient Method,20
Table,200,Africa,Conventional,900038.6,Furniture,0.8,Very High,Efficient Method,20
Tomatoes,50,Australia,Recycled,10488.43,Other,0.5,Medium,Efficient Method,20
Table,10,Asia,Industrial,46598.95,Furniture,0.7,High,Efficient Method,20
Wheat,1,Australia,Conventional,1702.1,Other,0.5,Medium,Efficient Method,20
Wood,10,Europe,Recycled,2766.96,Raw Material,0.4,Medium,Efficient Method,20
Corn,5,Africa,Conventional,6709.1,Other,0.8,Very High,Efficient Method,20
Glass Bottle,200,Europe,Conventional,70550.51,Other,0.4,Medium,Efficient Method,20
Table,1,Australia,Conventional,4963.88,Furniture,0.5,Medium,Efficient Method,20
Cotton Shirt,1,Australia,Industrial,2751.44,Other,0.5,Medium,Efficient Method,20
Glass Bottle,200,South America,Handmade,75277.38,Other,0.6,Medium-High,Efficient Method,20
Leather Bag,50,Europe,Industrial,864739.78,Other,0.4,Medium,Efficient Method,20
Sofa,100,Asia,Organic,968786.45,Other,0.7,High,Efficient Method,20
Plastic,10,Africa,Conventional,1832.07,Other,0.8,Very High,Efficient Method,20
Chair,200,Asia,Recycled,481234.43,Other,0.7,High,Efficient Method,20
Leather Bag,10,South America,Handmade,170232.22,Other,0.6,Medium-High,Efficient Method,20
Plastic,5,Africa,Organic,816.48,Other,0.8,Very High,Efficient Method,20
Wheat,100,South America,Conventional,196243.53,Other,0.6,Medium-High,Efficient Method,20
Glass Bottle,200,Asia,Organic,71342.05,Other,0.7,High,Efficient Method,20
Table,1,Australia,Recycled,4923.47,Furniture,0.5,Medium,Efficient Method,20
Bed,20,North America,Organic,150490.73,Furniture,0.3,Low,Efficient Method,20
Car,100,Asia,Recycled,13858292.31,Vehicle,0.7,High,Efficient Method,20
Plastic,50,Europe,Organic,8581.19,Other,0.4,Medium,Efficient Method,20
Steel,50,North America,Recycled,2630.9,Raw Material,0.3,Low,Efficient Method,20
Bicycle,5,Europe,Organic,69298.38,Other,0.4,Medium,Efficient Method,20
Almonds,200,Asia,Handmade,2200531.14,Other,0.7,High,Efficient Method,20
Steel,50,Australia,Handmade,2535.57,Raw Material,0.5,Medium,Efficient Method,20
Sofa,20,Europe,Conventional,179564.84,Other,0.4,Medium,Efficient Method,20
Paper,100,North America,Handmade,1046.15,Stationery,0.3,Low,Efficient Method,20
Tomatoes,200,Australia,Recycled,40502.07,Other,0.5,Medium,Efficient Method,20
Cotton Shirt,100,Europe,Industrial,262078.3,Other,0.4,Medium,Efficient Method,20
Almonds,10,Asia,Industrial,99977.34,Other,0.7,High,Efficient Method,20
Chair,50,Africa,Organic,132192.54,Other,0.8,Very High,Efficient Method,20
Leather Bag,50,Asia,Industrial,844982.88,Other,0.7,High,Efficient Method,20
Car,200,Asia,Industrial,32062477.6,Vehicle,0.7,High,Recycled Materials,25
Steel,5,Africa,Industrial,233.46,Raw Material,0.8,Very High,Recycled Steel,40
Glass Bottle,5,North America,Organic,1991.89,Other,0.3,Low,Efficient Method,20
Glass Bottle,1,Asia,Industrial,363.98,Other,0.7,High,Efficient Method,20
Mobile Phone,20,South America,Organic,24306.88,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,100,South America,Organic,123619.83,Other,0.6,Medium-High,Efficient Method,20
Rice,5,North America,Organic,11650.79,Food,0.3,Low,Aerobic Rice Farming,35
Sofa,100,Europe,Organic,968190.03,Other,0.4,Medium,Efficient Method,20
Plastic,50,Asia,Recycled,9250.48,Other,0.7,High,Efficient Method,20
Glass Bottle,100,North America,Organic,34482.34,Other,0.3,Low,Efficient Method,20
Leather Bag,1,Australia,Recycled,15628.7,Other,0.5,Medium,Efficient Method,20
Rice,10,Asia,Organic,25242.53,Food,0.7,High,Aerobic Rice Farming,35
Cotton Shirt,1,Europe,Recycled,2622.09,Other,0.4,Medium,Efficient Method,20
Table,200,South America,Recycled,1077945.78,Furniture,0.6,Medium-High,Efficient Method,20
Rice,20,Europe,Handmade,49188.61,Food,0.4,Medium,Efficient Method,20
Glass Bottle,5,Africa,Recycled,2022.57,Other,0.8,Very High,Efficient Method,20
Rice,100,Australia,Organic,226363.06,Food,0.5,Medium,Aerobic Rice Farming,35
Wheat,1,Europe,Handmade,1876.99,Other,0.4,Medium,Efficient Method,20
Wheat,100,Europe,Handmade,170944.98,Other,0.4,Medium,Efficient Method,20
Wheat,5,North America,Industrial,8228.44,Other,0.3,Low,Efficient Method,20
Plastic,50,Asia,Recycled,9388.76,Other,0.7,High,Efficient Method,20
Corn,200,South America,Recycled,255909.83,Other,0.6,Medium-High,Efficient Method,20
Glass Bottle,1,Australia,Handmade,394.41,Other,0.5,Medium,Efficient Method,20
Car,100,South America,Conventional,13735912.18,Vehicle,0.6,Medium-High,Efficient Method,20
Sofa,50,Europe,Recycled,460713.73,Other,0.4,Medium,Efficient Method,20
Chair,5,Australia,Handmade,12213.91,Other,0.5,Medium,Efficient Method,20
Corn,10,Asia,Conventional,11734.98,Other,0.7,High,Efficient Method,20
Wood,1,Asia,Handmade,278.0,Raw Material,0.7,High,Recycled Wood,30
Mobile Phone,1,Australia,Industrial,1099.58,Other,0.5,Medium,Efficient Method,20
Rice,10,Australia,Handmade,25735.19,Food,0.5,Medium,Efficient Method,20
Sofa,5,Asia,Organic,41349.63,Other,0.7,High,Efficient Method,20
Cotton Shirt,200,Asia,Conventional,498729.82,Other,0.7,High,Efficient Method,20
Mobile Phone,50,Africa,Organic,59321.05,Other,0.8,Very High,Efficient Method,20
Leather Bag,10,Europe,Organic,176811.98,Other,0.4,Medium,Efficient Method,20
Almonds,200,Africa,Handmade,2250878.57,Other,0.8,Very High,Efficient Method,20
Bicycle,10,Australia,Conventional,136558.76,Other,0.5,Medium,Efficient Method,20
Paper,1,Asia,Recycled,10.4,Stationery,0.7,High,Efficient Method,20
Wheat,100,North America,Conventional,184679.98,Other,0.3,Low,Efficient Method,20
Paper,10,Europe,Conventional,107.46,Stationery,0.4,Medium,Efficient Method,20
Almonds,1,South America,Organic,11105.07,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,50,North America,Conventional,55615.89,Other,0.3,Low,Efficient Method,20
Mobile Phone,20,Asia,Organic,25326.84,Other,0.7,High,Efficient Method,20
Glass Bottle,100,South America,Conventional,35322.82,Other,0.6,Medium-High,Efficient Method,20
Bicycle,5,North America,Handmade,73637.35,Other,0.3,Low,Efficient Method,20
Car,200,Asia,Recycled,28138111.49,Vehicle,0.7,High,Efficient Method,20
Leather Bag,5,Europe,Industrial,92883.17,Other,0.4,Medium,Efficient Method,20
Wheat,10,North America,Handmade,19950.92,Other,0.3,Low,Efficient Method,20
Corn,200,North America,Recycled,259636.33,Other,0.3,Low,Efficient Method,20
Laptop,100,Europe,Handmade,1093402.42,Electronics,0.4,Medium,Efficient Method,20
Mobile Phone,100,Europe,Conventional,125085.17,Other,0.4,Medium,Efficient Method,20
Paper,1,South America,Conventional,10.86,Stationery,0.6,Medium-High,Efficient Method,20
Sofa,200,Asia,Organic,1920746.59,Other,0.7,High,Efficient Method,20
Chair,5,North America,Organic,13031.64,Other,0.3,Low,Efficient Method,20
Plastic,1,Africa,Handmade,170.01,Other,0.8,Very High,Efficient Method,20
Laptop,100,South America,Organic,1099578.13,Electronics,0.6,Medium-High,Efficient Method,20
Bed,200,Africa,Handmade,1691760.84,Furniture,0.8,Very High,Efficient Method,20
Plastic,100,Asia,Recycled,16504.92,Other,0.7,High,Efficient Method,20
Bed,200,North America,Recycled,1443661.77,Furniture,0.3,Low,Efficient Method,20
Table,200,Asia,Recycled,985425.66,Furniture,0.7,High,Efficient Method,20
Sofa,1,Australia,Conventional,9446.26,Other,0.5,Medium,Efficient Method,20
Tomatoes,50,South America,Organic,10883.33,Other,0.6,Medium-High,Efficient Method,20
Sofa,10,South America,Organic,82477.75,Other,0.6,Medium-High,Efficient Method,20
Mobile Phone,20,Europe,Industrial,22115.78,Other,0.4,Medium,Efficient Method,20
Leather Bag,5,North America,Conventional,91966.68,Other,0.3,Low,Efficient Method,20
Table,10,North America,Recycled,46380.9,Furniture,0.3,Low,Efficient Method,20
Car,1,Europe,Industrial,143018.5,Vehicle,0.4,Medium,Recycled Materials,25
